text,processed_text_spacy
I want to return my order,want return order
My charger is not working,charger work
The delivery is very late,delivery late
I received a damaged product,receive damage product
I need a refund,need refund
My headphones stopped working,headphone stop work
Where is my parcel,parcel
The product quality is bad,product quality bad
I got the wrong item,get wrong item
Please cancel my order,cancel order
I want to return my order,want return order
My charger is not working,charger work
The delivery is very late,delivery late
I received a damaged product,receive damage product
I need a refund,need refund
My headphones stopped working,headphone stop work
Where is my parcel,parcel
The product quality is bad,product quality bad
I got the wrong item,get wrong item
Please cancel my order,cancel order
I want to return my order,want return order
My charger is not working,charger work
The delivery is very late,delivery late
I received a damaged product,receive damage product
I need a refund,need refund
My headphones stopped working,headphone stop work
Where is my parcel,parcel
The product quality is bad,product quality bad
I got the wrong item,get wrong item
Please cancel my order,cancel order
I want to return my order,want return order
My charger is not working,charger work
The delivery is very late,delivery late
I received a damaged product,receive damage product
I need a refund,need refund
My headphones stopped working,headphone stop work
Where is my parcel,parcel
The product quality is bad,product quality bad
I got the wrong item,get wrong item
Please cancel my order,cancel order
I want to return my order,want return order
My charger is not working,charger work
The delivery is very late,delivery late
I received a damaged product,receive damage product
I need a refund,need refund
My headphones stopped working,headphone stop work
Where is my parcel,parcel
The product quality is bad,product quality bad
I got the wrong item,get wrong item
Please cancel my order,cancel order
I want to return my order,want return order
My charger is not working,charger work
The delivery is very late,delivery late
I received a damaged product,receive damage product
I need a refund,need refund
My headphones stopped working,headphone stop work
Where is my parcel,parcel
The product quality is bad,product quality bad
I got the wrong item,get wrong item
Please cancel my order,cancel order
I want to return my order,want return order
My charger is not working,charger work
The delivery is very late,delivery late
I received a damaged product,receive damage product
I need a refund,need refund
My headphones stopped working,headphone stop work
Where is my parcel,parcel
The product quality is bad,product quality bad
I got the wrong item,get wrong item
Please cancel my order,cancel order
I want to return my order,want return order
My charger is not working,charger work
The delivery is very late,delivery late
I received a damaged product,receive damage product
I need a refund,need refund
My headphones stopped working,headphone stop work
Where is my parcel,parcel
The product quality is bad,product quality bad
I got the wrong item,get wrong item
Please cancel my order,cancel order
I want to return my order,want return order
My charger is not working,charger work
The delivery is very late,delivery late
I received a damaged product,receive damage product
I need a refund,need refund
My headphones stopped working,headphone stop work
Where is my parcel,parcel
The product quality is bad,product quality bad
I got the wrong item,get wrong item
Please cancel my order,cancel order
I want to return my order,want return order
My charger is not working,charger work
The delivery is very late,delivery late
I received a damaged product,receive damage product
I need a refund,need refund
My headphones stopped working,headphone stop work
Where is my parcel,parcel
The product quality is bad,product quality bad
I got the wrong item,get wrong item
Please cancel my order,cancel order
I want to return my order,want return order
My charger is not working,charger work
The delivery is very late,delivery late
I received a damaged product,receive damage product
I need a refund,need refund
My headphones stopped working,headphone stop work
Where is my parcel,parcel
The product quality is bad,product quality bad
I got the wrong item,get wrong item
Please cancel my order,cancel order
I want to return my order,want return order
My charger is not working,charger work
The delivery is very late,delivery late
I received a damaged product,receive damage product
I need a refund,need refund
My headphones stopped working,headphone stop work
Where is my parcel,parcel
The product quality is bad,product quality bad
I got the wrong item,get wrong item
Please cancel my order,cancel order
I want to return my order,want return order
My charger is not working,charger work
The delivery is very late,delivery late
I received a damaged product,receive damage product
I need a refund,need refund
My headphones stopped working,headphone stop work
Where is my parcel,parcel
The product quality is bad,product quality bad
I got the wrong item,get wrong item
Please cancel my order,cancel order
I want to return my order,want return order
My charger is not working,charger work
The delivery is very late,delivery late
I received a damaged product,receive damage product
I need a refund,need refund
My headphones stopped working,headphone stop work
Where is my parcel,parcel
The product quality is bad,product quality bad
I got the wrong item,get wrong item
Please cancel my order,cancel order
I want to return my order,want return order
My charger is not working,charger work
The delivery is very late,delivery late
I received a damaged product,receive damage product
I need a refund,need refund
My headphones stopped working,headphone stop work
Where is my parcel,parcel
The product quality is bad,product quality bad
I got the wrong item,get wrong item
Please cancel my order,cancel order
I want to return my order,want return order
My charger is not working,charger work
The delivery is very late,delivery late
I received a damaged product,receive damage product
I need a refund,need refund
My headphones stopped working,headphone stop work
Where is my parcel,parcel
The product quality is bad,product quality bad
I got the wrong item,get wrong item
Please cancel my order,cancel order
I want to return my order,want return order
My charger is not working,charger work
The delivery is very late,delivery late
I received a damaged product,receive damage product
I need a refund,need refund
My headphones stopped working,headphone stop work
Where is my parcel,parcel
The product quality is bad,product quality bad
I got the wrong item,get wrong item
Please cancel my order,cancel order
I want to return my order,want return order
My charger is not working,charger work
The delivery is very late,delivery late
I received a damaged product,receive damage product
I need a refund,need refund
My headphones stopped working,headphone stop work
Where is my parcel,parcel
The product quality is bad,product quality bad
I got the wrong item,get wrong item
Please cancel my order,cancel order
I want to return my order,want return order
My charger is not working,charger work
The delivery is very late,delivery late
I received a damaged product,receive damage product
I need a refund,need refund
My headphones stopped working,headphone stop work
Where is my parcel,parcel
The product quality is bad,product quality bad
I got the wrong item,get wrong item
Please cancel my order,cancel order
I want to return my order,want return order
My charger is not working,charger work
The delivery is very late,delivery late
I received a damaged product,receive damage product
I need a refund,need refund
My headphones stopped working,headphone stop work
Where is my parcel,parcel
The product quality is bad,product quality bad
I got the wrong item,get wrong item
Please cancel my order,cancel order
